annettevogt-20180320-rec_segment_0018;annettevogt-20180320-rec;segment_0018;In Dahlem. Wir sind in Berlin Dahlem.;in dahlem wir sind in berlin dahlem;3
annettevogt-20180320-rec_segment_0406;annettevogt-20180320-rec;segment_0406;Und in der Kooperation denke ich *eh* wird es da sehr viele neue Erkenntnisse geben, die;und in der kooperation denke ich eh wird es da sehr viele neue erkenntnisse geben die;3
annettevogt-20180320-rec_segment_0407;annettevogt-20180320-rec;segment_0407;die für die Europäer wahrscheinlich überraschend sind, weil sie denken, da;die für die europäer wahrscheinlich überraschend sind weil sie denken da;3
annettevogt-20180320-rec_segment_0408;annettevogt-20180320-rec;segment_0408;also nichts. Und das ist einfach nicht wahr und ähnlich ist das auch mit der Geschichte der;also nichts und das ist einfach nicht wahr und ähnlich ist das auch mit der geschichte der;3
annettevogt-20180320-rec_segment_0409;annettevogt-20180320-rec;segment_0409;Wissenschaften in den arabischen Ländern. Gut in der Mathematikgeschichte, da ist eher bekannt,;wissenschaften in den arabischen ländern gut in der mathematikgeschichte da ist eher bekannt;3
annettevogt-20180320-rec_segment_0412;annettevogt-20180320-rec;segment_0412;Übersetzungen ins Arabische angefertigt haben und das ist dann;übersetzungen ins arabische angefertigt haben und das ist dann;3
annettevogt-20180320-rec_segment_0413;annettevogt-20180320-rec;segment_0413;*ehm* nach Europa gebracht worden. Und ist dann;ehm nach europa gebracht worden und ist dann;3
annettevogt-20180320-rec_segment_0414;annettevogt-20180320-rec;segment_0414;also zum Beispiel in über so wirklich in Übersetzerschulen ins Lateinische übersetzt worden.;also zum beispiel in über so wirklich in übersetzerschulen ins lateinische übersetzt worden;3
annettevogt-20180320-rec_segment_0415;annettevogt-20180320-rec;segment_0415;Denn Lateinisch war ganz ganz lang die akzeptierte Wissenschaftssprache.;denn lateinisch war ganz ganz lang die akzeptierte wissenschaftssprache;3
annettevogt-20180320-rec_segment_0416;annettevogt-20180320-rec;segment_0416;nun kann man *eh* kritisch sagen, das schließt aber viele Menschen aus, Wissenschaft zu betreiben, das ist richtig.;nun kann man eh kritisch sagen das schließt aber viele menschen aus wissenschaft zu betreiben das ist richtig;3
annettevogt-20180320-rec_segment_0417;annettevogt-20180320-rec;segment_0417;Auf der anderen Seite war diese Wissenschaftssprache Latein;auf der anderen seite war diese wissenschaftssprache latein;3
annettevogt-20180320-rec_segment_0418;annettevogt-20180320-rec;segment_0418;sehr günstig für die Verständigung untereinander.;sehr günstig für die verständigung untereinander;3
annettevogt-20180320-rec_segment_0419;annettevogt-20180320-rec;segment_0419;Weil es war dann zumindest eine einheitliche genau Sprache. weil es war eine einheitliche Sprache, mit der sich also von;weil es war dann zumindest eine einheitliche genau sprache weil es war eine einheitliche sprache mit der sich also von;3
annettevogt-20180320-rec_segment_0421;annettevogt-20180320-rec;segment_0421;betrieben haben, verständigen konnten. Und alle konnten diese Sprache lesen und;betrieben haben verständigen konnten und alle konnten diese sprache lesen und;3
annettevogt-20180320-rec_segment_0422;annettevogt-20180320-rec;segment_0422;*eh* ihre *eh* ihre Manuskripte in dieser Sprache schreiben, so dass das austauschbar war. So wie sichs ja heute;eh ihre eh ihre manuskripte in dieser sprache schreiben so dass das austauschbar war so wie sichs ja heute;3
annettevogt-20180320-rec_segment_0424;annettevogt-20180320-rec;segment_0424;wirklich auch Vorteile. Also Es ist eben, man sollte es nicht so nachteilig sehen. also ich höre oft Klagen, ja;wirklich auch vorteile also es ist eben man sollte es nicht so nachteilig sehen also ich höre oft klagen ja;3
annettevogt-20180320-rec_segment_0425;annettevogt-20180320-rec;segment_0425;und dann ist ja alles nur noch in Englisch und bei den internationalen Konferenzen ist ja nur noch Englisch, obwohl;und dann ist ja alles nur noch in englisch und bei den internationalen konferenzen ist ja nur noch englisch obwohl;3
annettevogt-20180320-rec_segment_0426;annettevogt-20180320-rec;segment_0426;oft de jure andere Sprachen möglich wären, aber es ist auch ein großer Vorteil, weil es die Kommunikation erleichtert.;oft de jure andere sprachen möglich wären aber es ist auch ein großer vorteil weil es die kommunikation erleichtert;3
annettevogt-20180320-rec_segment_0427;annettevogt-20180320-rec;segment_0427;Und dass es nun Englisch ist, das hat historische Gründe.;und dass es nun englisch ist das hat historische gründe;3
annettevogt-20180320-rec_segment_0428;annettevogt-20180320-rec;segment_0428;Aber ich denke, es ist schon von Vorteil, also auch unsere;aber ich denke es ist schon von vorteil also auch unsere;3
annettevogt-20180320-rec_segment_0429;annettevogt-20180320-rec;segment_0429;Kollegen, die am Institut zu Besuch sind aus China, wir reden eben englisch miteinander. Also ich kann kein chinesisch, die können kein deutsch;kollegen die am institut zu besuch sind aus china wir reden eben englisch miteinander also ich kann kein chinesisch die können kein deutsch;3
annettevogt-20180320-rec_segment_0430;annettevogt-20180320-rec;segment_0430;und dank Englisch können wir uns verständigen.;und dank englisch können wir uns verständigen;3
annettevogt-20180320-rec_segment_0444;annettevogt-20180320-rec;segment_0444;Ich kenne mich da nicht sehr gut aus. Ich;ich kenne mich da nicht sehr gut aus ich;3
annettevogt-20180320-rec_segment_0445;annettevogt-20180320-rec;segment_0445;weiß, *eh* dass zum Beispiel in der Mathematik;weiß eh dass zum beispiel in der mathematik;3
annettevogt-20180320-rec_segment_0446;annettevogt-20180320-rec;segment_0446;dort vieles gemacht wurde, ähnlich *eh* wie wir das aus der Antike kennen. Und die sind also unabhängig voneinander;dort vieles gemacht wurde ähnlich eh wie wir das aus der antike kennen und die sind also unabhängig voneinander;3
annettevogt-20180320-rec_segment_0447;annettevogt-20180320-rec;segment_0447;noch auf die selben Ergebnisse gekommen.;noch auf die selben ergebnisse gekommen;3
annettevogt-20180320-rec_segment_0448;annettevogt-20180320-rec;segment_0448;Das macht auch Sinn. Also in der Mathematik *eh* ist das häufig, dass unabhängig voneinander zu verschiedenen Zeiten in verschiedenen Regionen,;das macht auch sinn also in der mathematik eh ist das häufig dass unabhängig voneinander zu verschiedenen zeiten in verschiedenen regionen;3
annettevogt-20180320-rec_segment_0449;annettevogt-20180320-rec;segment_0449;dieselben mathematischen Behauptungen entdeckt wurden und und dann ähnliche Beweise gemacht wurden.;dieselben mathematischen behauptungen entdeckt wurden und und dann ähnliche beweise gemacht wurden;3
annettevogt-20180320-rec_segment_0450;annettevogt-20180320-rec;segment_0450;*eh* China war ein riesen Reich, was verwaltet wurde, was erfolgreich verwaltet wurde. Ich weiß von Kollegen, die mir;eh china war ein riesen reich was verwaltet wurde was erfolgreich verwaltet wurde ich weiß von kollegen die mir;3
annettevogt-20180320-rec_segment_0451;annettevogt-20180320-rec;segment_0451;von ihren Forschungen erzählten. Man ist dabei inzwischen zu rekonstruieren,;von ihren forschungen erzählten man ist dabei inzwischen zu rekonstruieren;3
annettevogt-20180320-rec_segment_0452;annettevogt-20180320-rec;segment_0452;wie diese Ausbildung dieser Verwaltungsleute,;wie diese ausbildung dieser verwaltungsleute;3
annettevogt-20180320-rec_segment_0453;annettevogt-20180320-rec;segment_0453;Verwaltungsbeamten;verwaltungsbeamten;3
annettevogt-20180320-rec_segment_0455;annettevogt-20180320-rec;segment_0455;nur wenn sie die bestanden haben, kamen sie;nur wenn sie die bestanden haben kamen sie;3
annettevogt-20180320-rec_segment_0456;annettevogt-20180320-rec;segment_0456;*eh* hatten sie dann das Recht da, diese Ausbildung machen zu können.;eh hatten sie dann das recht da diese ausbildung machen zu können;3
annettevogt-20180320-rec_segment_0457;annettevogt-20180320-rec;segment_0457;*ehm* Es fängt damit an, dass *eh* die chinesischen Schriftzeichen *eh* schwierig sind und;ehm es fängt damit an dass eh die chinesischen schriftzeichen eh schwierig sind und;3
annettevogt-20180320-rec_segment_0458;annettevogt-20180320-rec;segment_0458;man anhand der Kenntnis der Schriftzeichen schon den Bildungsstand sozusagen erkennen kann. Und je mehr;man anhand der kenntnis der schriftzeichen schon den bildungsstand sozusagen erkennen kann und je mehr;3
annettevogt-20180320-rec_segment_0459;annettevogt-20180320-rec;segment_0459;zeichen man kennt, umso höher gebildet ist man. *mhm*;zeichen man kennt umso höher gebildet ist man mhm;3
annettevogt-20180320-rec_segment_0460;annettevogt-20180320-rec;segment_0460;Also damit fängt das eben schon an *eh* mit mit der mit der Ausbildung im Schreiben und dann auch im im;also damit fängt das eben schon an eh mit mit der mit der ausbildung im schreiben und dann auch im im;3
annettevogt-20180320-rec_segment_0461;annettevogt-20180320-rec;segment_0461;im Rechnen. Und die astronomischen Kenntnisse waren weit entwickelt.;im rechnen und die astronomischen kenntnisse waren weit entwickelt;3
annettevogt-20180320-rec_segment_0462;annettevogt-20180320-rec;segment_0462;Und das *eh* ist wieder der Grund, man muss sich orientieren in Zeit und Raum.;und das eh ist wieder der grund man muss sich orientieren in zeit und raum;3
annettevogt-20180320-rec_segment_0464;annettevogt-20180320-rec;segment_0464;zwischen den Ländern, die um China drumrum sind, die gab es natürlich *eh* und da spielen viele;zwischen den ländern die um china drumrum sind die gab es natürlich eh und da spielen viele;3
annettevogt-20180320-rec_segment_0465;annettevogt-20180320-rec;segment_0465;historische Gründe da eine Rolle, warum die mal besser entwickelt sind und mal schlechter.;historische gründe da eine rolle warum die mal besser entwickelt sind und mal schlechter;3
annettevogt-20180320-rec_segment_0466;annettevogt-20180320-rec;segment_0466;Und das Wissen, was die Europäer haben von;und das wissen was die europäer haben von;3
annettevogt-20180320-rec_segment_0467;annettevogt-20180320-rec;segment_0467;China, das ist dann geschuldet den;china das ist dann geschuldet den;3
annettevogt-20180320-rec_segment_0468;annettevogt-20180320-rec;segment_0468;den kirchlichen Missionaren, die also dahin reisen und dann Berichte schreiben, was sie dort *eh*;den kirchlichen missionaren die also dahin reisen und dann berichte schreiben was sie dort eh;3
annettevogt-20180320-rec_segment_0469;annettevogt-20180320-rec;segment_0469;haben und zum Teil eben auch ehrlich schreiben, wie überrascht sie sind,;haben und zum teil eben auch ehrlich schreiben wie überrascht sie sind;3
annettevogt-20180320-rec_segment_0470;annettevogt-20180320-rec;segment_0470;dass das nicht irgendwelche Eingeborenen sind, die nichts können, sondern dass das eine;dass das nicht irgendwelche eingeborenen sind die nichts können sondern dass das eine;3
annettevogt-20180320-rec_segment_0471;annettevogt-20180320-rec;segment_0471;hochentwickelte andere Kultur ist, der sie begegnet sind.;hochentwickelte andere kultur ist der sie begegnet sind;3
annettevogt-20180320-rec_segment_0472;annettevogt-20180320-rec;segment_0472;*mhm* Aber auch da, es gibt also ganz ganz viele Berichte von diesen Missionaren, die noch nicht *eh*;mhm aber auch da es gibt also ganz ganz viele berichte von diesen missionaren die noch nicht eh;3
annettevogt-20180320-rec_segment_0473;annettevogt-20180320-rec;segment_0473;untersucht wurden. Und wo also da gibt es noch ganz ganz viele offene Forschungsfragen;untersucht wurden und wo also da gibt es noch ganz ganz viele offene forschungsfragen;3
annettevogt-20180320-rec_segment_0474;annettevogt-20180320-rec;segment_0474;und eigentlich müssten ganz viele junge Leute neugierig sein, Chinesisch lernen und sagen, ich will da mitmachen.;und eigentlich müssten ganz viele junge leute neugierig sein chinesisch lernen und sagen ich will da mitmachen;3
annettevogt-20180320-rec_segment_0475;annettevogt-20180320-rec;segment_0475;*mhm* Weil das für junge Leute *eh* leichter ist, chinesisch zu lernen, als für für ältere.;mhm weil das für junge leute eh leichter ist chinesisch zu lernen als für für ältere;3
annettevogt-20180320-rec_segment_0486;annettevogt-20180320-rec;segment_0486;Ja wir sagen ja Renaissance, Wiedergeburt. Also es gibt dann;ja wir sagen ja renaissance wiedergeburt also es gibt dann;3
annettevogt-20180320-rec_segment_0487;annettevogt-20180320-rec;segment_0487;*eh* wieder Freiräume. Es gibt die Möglichkeit, dass;eh wieder freiräume es gibt die möglichkeit dass;3
annettevogt-20180320-rec_segment_0488;annettevogt-20180320-rec;segment_0488;*eh* Personen ihr Auskommen finden, in dem sie in anführungsstrichen nur nachdenken und forschen.;eh personen ihr auskommen finden in dem sie in anführungsstrichen nur nachdenken und forschen;3
annettevogt-20180320-rec_segment_0489;annettevogt-20180320-rec;segment_0489;Und das hat einerseits mit dem Aufschwung der Universitäten zu tun, also die;und das hat einerseits mit dem aufschwung der universitäten zu tun also die;3
annettevogt-20180320-rec_segment_0490;annettevogt-20180320-rec;segment_0490;Universitätsgeschichten sind ja etwas sehr spannendes. Weil die Universitäten *ehm*;universitätsgeschichten sind ja etwas sehr spannendes weil die universitäten ehm;3
annettevogt-20180320-rec_segment_0491;annettevogt-20180320-rec;segment_0491;anfangen, nicht mehr eine reine;anfangen nicht mehr eine reine;3
annettevogt-20180320-rec_segment_0492;annettevogt-20180320-rec;segment_0492;Bildungsstätte zu sein, die nur das absolut notwendige Minimum Wissen vermittelt;bildungsstätte zu sein die nur das absolut notwendige minimum wissen vermittelt;3
annettevogt-20180320-rec_segment_0493;annettevogt-20180320-rec;segment_0493;und da vor allem natürlich für;und da vor allem natürlich für;3
annettevogt-20180320-rec_segment_0494;annettevogt-20180320-rec;segment_0494;für die Staatsdiener in den jeweiligen Ländern.;für die staatsdiener in den jeweiligen ländern;3
annettevogt-20180320-rec_segment_0495;annettevogt-20180320-rec;segment_0495;Ob das die Verwaltungsleute sind, die Mediziner, es ist natürlich ganz wichtig, dass man ausgebildete Mediziner hat, Juristen, Theologen.;ob das die verwaltungsleute sind die mediziner es ist natürlich ganz wichtig dass man ausgebildete mediziner hat juristen theologen;3
annettevogt-20180320-rec_segment_0496;annettevogt-20180320-rec;segment_0496;Aber es gibt dann auch;aber es gibt dann auch;3
annettevogt-20180320-rec_segment_0497;annettevogt-20180320-rec;segment_0497;*eh* Wissenschaftler, die dann sich den Naturwissenschaften zuwenden können und;eh wissenschaftler die dann sich den naturwissenschaften zuwenden können und;3
annettevogt-20180320-rec_segment_0499;annettevogt-20180320-rec;segment_0499;Galilei, *eh*;galilei eh;3
annettevogt-20180320-rec_segment_0500;annettevogt-20180320-rec;segment_0500;über den es ja auch ganz viele Bücher gibt und wo man also nachlesen kann, wie er in seiner Zeit verortet;über den es ja auch ganz viele bücher gibt und wo man also nachlesen kann wie er in seiner zeit verortet;3
annettevogt-20180320-rec_segment_0501;annettevogt-20180320-rec;segment_0501;die Möglichkeit hatte, dann;die möglichkeit hatte dann;3
annettevogt-20180320-rec_segment_0502;annettevogt-20180320-rec;segment_0502;Wissenschaft zu betreiben und dann eben wirklich;wissenschaft zu betreiben und dann eben wirklich;3
annettevogt-20180320-rec_segment_0503;annettevogt-20180320-rec;segment_0503;einer der Väter der modernen Naturwissenschaft ist und *ehm* von Galilei stammt ja auch der Satz des;einer der väter der modernen naturwissenschaft ist und ehm von galilei stammt ja auch der satz des;3
annettevogt-20180320-rec_segment_0504;annettevogt-20180320-rec;segment_0504;*eh* die Naturwissenschaften in den;eh die naturwissenschaften in den;3
annettevogt-20180320-rec_segment_0505;annettevogt-20180320-rec;segment_0505;Blättern der Mathematik geschrieben werden sollen. Also wo dann auch die Mathematik *eh* wieder wichtig wird;blättern der mathematik geschrieben werden sollen also wo dann auch die mathematik eh wieder wichtig wird;3
annettevogt-20180320-rec_segment_0506;annettevogt-20180320-rec;segment_0506;als Sprache der Naturwissenschaftler sozusagen. Und dann ist wichtig, Galilei macht eben *eh*;als sprache der naturwissenschaftler sozusagen und dann ist wichtig galilei macht eben eh;3
annettevogt-20180320-rec_segment_0508;annettevogt-20180320-rec;segment_0508;Kultur des Experimentierens wird wichtig. Man wird also man fängt also an, nicht mehr nur Manuskripte zu lesen,;kultur des experimentierens wird wichtig man wird also man fängt also an nicht mehr nur manuskripte zu lesen;3
annettevogt-20180320-rec_segment_0509;annettevogt-20180320-rec;segment_0509;Kopien der Manuskripte, Abschriften und dann zu vergleichen, die;kopien der manuskripte abschriften und dann zu vergleichen die;3
annettevogt-20180320-rec_segment_0510;annettevogt-20180320-rec;segment_0510;so und so vielte Abschrift mit der anderen, sondern man fängt an, zu experimentieren. Das wurde so vorher nicht gemacht?;so und so vielte abschrift mit der anderen sondern man fängt an zu experimentieren das wurde so vorher nicht gemacht;3
annettevogt-20180320-rec_segment_0511;annettevogt-20180320-rec;segment_0511;*ehm* Also;ehm also;3
annettevogt-20180320-rec_segment_0512;annettevogt-20180320-rec;segment_0512;wir vermuten schon, dass das vorher nicht so gemacht wurde. Also das Experimentieren setzen wir schon an, dass das mit der;wir vermuten schon dass das vorher nicht so gemacht wurde also das experimentieren setzen wir schon an dass das mit der;3
annettevogt-20180320-rec_segment_0513;annettevogt-20180320-rec;segment_0513;Entwicklung in der frühen Neuzeit beginnt.;entwicklung in der frühen neuzeit beginnt;3
annettevogt-20180320-rec_segment_0515;annettevogt-20180320-rec;segment_0515;würden wir sagen, Gedankenexperimente. Aber jetzt wird dann wirklich angefangen. Galilei;würden wir sagen gedankenexperimente aber jetzt wird dann wirklich angefangen galilei;3
annettevogt-20180320-rec_segment_0516;annettevogt-20180320-rec;segment_0516;*eh* hat ja mit der;eh hat ja mit der;3
annettevogt-20180320-rec_segment_0517;annettevogt-20180320-rec;segment_0517;mit dem Bau des Fernrohrs wirklich unmittelbar zu tun. Also man;mit dem bau des fernrohrs wirklich unmittelbar zu tun also man;3
annettevogt-20180320-rec_segment_0518;annettevogt-20180320-rec;segment_0518;versucht dann auch Hilfsinstrumente zu entwickeln, mit denen man besser Wissenschaft untersuchen kann.;versucht dann auch hilfsinstrumente zu entwickeln mit denen man besser wissenschaft untersuchen kann;3
annettevogt-20180320-rec_segment_0519;annettevogt-20180320-rec;segment_0519;Und das leuchtet ja jedem ein,;und das leuchtet ja jedem ein;3
annettevogt-20180320-rec_segment_0520;annettevogt-20180320-rec;segment_0520;wenn ich mit bloßem Auge in den Himmel gucke, sehe ich viel weniger, als wenn ich mein Auge künstlich verstärke mit Hilfe dieses Fernrohrs.;wenn ich mit bloßem auge in den himmel gucke sehe ich viel weniger als wenn ich mein auge künstlich verstärke mit hilfe dieses fernrohrs;3
annettevogt-20180320-rec_segment_0521;annettevogt-20180320-rec;segment_0521;Und dann kann ich plötzlich ganz ganz viel mehr entdecken.;und dann kann ich plötzlich ganz ganz viel mehr entdecken;3
annettevogt-20180320-rec_segment_0522;annettevogt-20180320-rec;segment_0522;Und dann beginnt eben diese Geschichte der Fernrohre, bis hin der Superfernrohre, wo heute versucht;und dann beginnt eben diese geschichte der fernrohre bis hin der superfernrohre wo heute versucht;3
annettevogt-20180320-rec_segment_0523;annettevogt-20180320-rec;segment_0523;*eh* Spuren fremden Lebens zu finden.;eh spuren fremden lebens zu finden;3
annettevogt-20180320-rec_segment_0524;annettevogt-20180320-rec;segment_0524;Aber da sind eben die Anfänge, dass gesagt wird,;aber da sind eben die anfänge dass gesagt wird;3
annettevogt-20180320-rec_segment_0525;annettevogt-20180320-rec;segment_0525;ich muss mir eine Experimentalkultur aufbauen,;ich muss mir eine experimentalkultur aufbauen;3
annettevogt-20180320-rec_segment_0526;annettevogt-20180320-rec;segment_0526;wo ich wirklich etwas beobachten kann und dann kommt *eh* ins Spiel, wo ich etwas messen kann.;wo ich wirklich etwas beobachten kann und dann kommt eh ins spiel wo ich etwas messen kann;3
annettevogt-20180320-rec_segment_0527;annettevogt-20180320-rec;segment_0527;Und dann fängt also die moderne Wissenschaft an,;und dann fängt also die moderne wissenschaft an;3
annettevogt-20180320-rec_segment_0528;annettevogt-20180320-rec;segment_0528;auch Wert darauf zu legen, ist das beobachtet worden, ist die Beobachtung wiederholbar,;auch wert darauf zu legen ist das beobachtet worden ist die beobachtung wiederholbar;3
annettevogt-20180320-rec_segment_0529;annettevogt-20180320-rec;segment_0529;sind die Messergebnisse in Florenz, in Berlin, in Paris, in London vergleichbar.;sind die messergebnisse in florenz in berlin in paris in london vergleichbar;3
annettevogt-20180320-rec_segment_0530;annettevogt-20180320-rec;segment_0530;*mhm* Also das, was ja auch heute ganz wichtig ist, *eh*;mhm also das was ja auch heute ganz wichtig ist eh;3
annettevogt-20180320-rec_segment_0531;annettevogt-20180320-rec;segment_0531;*ehm* weshalb ja dann zum Glück auch solche Fälschungsgeschichten immer rauskommen, weil das, wenn das eben nicht vergleichbar ist und nicht;ehm weshalb ja dann zum glück auch solche fälschungsgeschichten immer rauskommen weil das wenn das eben nicht vergleichbar ist und nicht;3
annettevogt-20180320-rec_segment_0532;annettevogt-20180320-rec;segment_0532;produzierbar ist, wiederholbar ist,;produzierbar ist wiederholbar ist;3
annettevogt-20180320-rec_segment_0533;annettevogt-20180320-rec;segment_0533;dann *eh* sind die Zweifel berechtigt, dass die Kollegen entweder simple Fehler machen oder;dann eh sind die zweifel berechtigt dass die kollegen entweder simple fehler machen oder;3
annettevogt-20180320-rec_segment_0534;annettevogt-20180320-rec;segment_0534;*eh* betrügen. Und da passieren natürlich ganz ganz viele neue Entdeckungen, in dem Moment, in dem man also das;eh betrügen und da passieren natürlich ganz ganz viele neue entdeckungen in dem moment in dem man also das;3
annettevogt-20180320-rec_segment_0535;annettevogt-20180320-rec;segment_0535;- und es gibt zwei wichtige Instrumente, das Mikroskop,;und es gibt zwei wichtige instrumente das mikroskop;3
annettevogt-20180320-rec_segment_0536;annettevogt-20180320-rec;segment_0536;um also immer kleinere Dinge zu finden und das Fernrohr.;um also immer kleinere dinge zu finden und das fernrohr;3
annettevogt-20180320-rec_segment_0537;annettevogt-20180320-rec;segment_0537;Um immer weiter ja entfernte Dinge zu finden. und man guckt also in die Ferne, Fernrohr, und man guckt;um immer weiter ja entfernte dinge zu finden und man guckt also in die ferne fernrohr und man guckt;3
annettevogt-20180320-rec_segment_0538;annettevogt-20180320-rec;segment_0538;auf die kleinen, und das Mikroskop das ist ganz ganz wichtig, nicht nur für Medizingeschichte, auch;auf die kleinen und das mikroskop das ist ganz ganz wichtig nicht nur für medizingeschichte auch;3
annettevogt-20180320-rec_segment_0539;annettevogt-20180320-rec;segment_0539;für Biologiegeschichte. Und man entdeckt irgendwas und man stellt dann Fragen, was ist das, wie hängt das mit dem zusammen, was ich weiß,;für biologiegeschichte und man entdeckt irgendwas und man stellt dann fragen was ist das wie hängt das mit dem zusammen was ich weiß;3
annettevogt-20180320-rec_segment_0540;annettevogt-20180320-rec;segment_0540;widerspricht das dem, was ich weiß.;widerspricht das dem was ich weiß;3
annettevogt-20180320-rec_segment_0541;annettevogt-20180320-rec;segment_0541;Und das sind also Wissenschaftspraktiken,;und das sind also wissenschaftspraktiken;3
annettevogt-20180320-rec_segment_0542;annettevogt-20180320-rec;segment_0542;die dann auch *eh* formuliert werden, thematisiert werden.;die dann auch eh formuliert werden thematisiert werden;3
annettevogt-20180320-rec_segment_0546;annettevogt-20180320-rec;segment_0546;betreibt an der art wie. Und er hat ja selber auch sehr viel geschrieben, also;betreibt an der art wie und er hat ja selber auch sehr viel geschrieben also;3
annettevogt-20180320-rec_segment_0547;annettevogt-20180320-rec;segment_0547;zu Lebzeiten publiziert.;zu lebzeiten publiziert;3
annettevogt-20180320-rec_segment_0548;annettevogt-20180320-rec;segment_0548;Es gibt aber natürlich noch ganz ganz viel Material in dem - also wir nennen das in der Wissenschaftsgeschichte Nachlass, also wenn;es gibt aber natürlich noch ganz ganz viel material in dem also wir nennen das in der wissenschaftsgeschichte nachlass also wenn;3
annettevogt-20180320-rec_segment_0549;annettevogt-20180320-rec;segment_0549;ein Wissenschaftler, eine Wissenschaftlerin;ein wissenschaftler eine wissenschaftlerin;3
annettevogt-20180320-rec_segment_0550;annettevogt-20180320-rec;segment_0550;*eh* stirbt und ihre Manuskripte, seine Manuskripte bleiben erhalten,;eh stirbt und ihre manuskripte seine manuskripte bleiben erhalten;3
annettevogt-20180320-rec_segment_0551;annettevogt-20180320-rec;segment_0551;dank glücklicher Umstände, dann nennt man das Nachlass - und *eh* Florenz hat also ganz ganz viele Manuskripte von Galilei,;dank glücklicher umstände dann nennt man das nachlass und eh florenz hat also ganz ganz viele manuskripte von galilei;3
annettevogt-20180320-rec_segment_0552;annettevogt-20180320-rec;segment_0552;wo auch immer noch Wissenschaftshistoriker, Kunsthistoriker;wo auch immer noch wissenschaftshistoriker kunsthistoriker;3
annettevogt-20180320-rec_segment_0555;annettevogt-20180320-rec;segment_0555;er ist natürlich für die für die Mehrzahl der Leute ist er natürlich ein berühmter Maler.;er ist natürlich für die für die mehrzahl der leute ist er natürlich ein berühmter maler;3
annettevogt-20180320-rec_segment_0556;annettevogt-20180320-rec;segment_0556;Aber bei ihm war natürlich wichtig, dass er;aber bei ihm war natürlich wichtig dass er;3
annettevogt-20180320-rec_segment_0557;annettevogt-20180320-rec;segment_0557;geometrische Kenntnisse sich aneignen musste. Ja aber er war ja ein extremer Universalist, der ja wirklich auch fast alles erfunden hat. Und dann hat er natürlich genau, er hat ja diese diese;geometrische kenntnisse sich aneignen musste ja aber er war ja ein extremer universalist der ja wirklich auch fast alles erfunden hat und dann hat er natürlich genau er hat ja diese diese;3
annettevogt-20180320-rec_segment_0558;annettevogt-20180320-rec;segment_0558;Entwürfe von Flugapparaten und solchen Dingen gemacht. ja;entwürfe von flugapparaten und solchen dingen gemacht ja;3
annettevogt-20180320-rec_segment_0559;annettevogt-20180320-rec;segment_0559;aber er war natürlich eine;aber er war natürlich eine;3
annettevogt-20180320-rec_segment_0561;annettevogt-20180320-rec;segment_0561;einzeln stand. Während um Galilei rum gab es natürlich dann Schüler.;einzeln stand während um galilei rum gab es natürlich dann schüler;3
annettevogt-20180320-rec_segment_0562;annettevogt-20180320-rec;segment_0562;Er hat ja auch zeitweilig an der Universität gelehrt;er hat ja auch zeitweilig an der universität gelehrt;3
annettevogt-20180320-rec_segment_0563;annettevogt-20180320-rec;segment_0563;und um Galilei rum gab es dann vor allem diese riesen Streitigkeiten mit mit den Theologen und mit der katholischen Kirche;und um galilei rum gab es dann vor allem diese riesen streitigkeiten mit mit den theologen und mit der katholischen kirche;3
annettevogt-20180320-rec_segment_0564;annettevogt-20180320-rec;segment_0564;und das ganze Inquisitionsverfahren,;und das ganze inquisitionsverfahren;3
annettevogt-20180320-rec_segment_0565;annettevogt-20180320-rec;segment_0565;was Auswirkungen hatte,;was auswirkungen hatte;3
annettevogt-20180320-rec_segment_0566;annettevogt-20180320-rec;segment_0566;*ehm* nicht nur für ihn persönlich, sondern auch für alle die,;ehm nicht nur für ihn persönlich sondern auch für alle die;3
annettevogt-20180320-rec_segment_0567;annettevogt-20180320-rec;segment_0567;die sich mit dieser neuen Wissenschaft beschäftigten. Inwiefern sie dann in den Konflikt kommen mit der herrschenden Kirchenmeinung.;die sich mit dieser neuen wissenschaft beschäftigten inwiefern sie dann in den konflikt kommen mit der herrschenden kirchenmeinung;3
annettevogt-20180320-rec_segment_0578;annettevogt-20180320-rec;segment_0578;*mhm* im Unterschied zu Ptolemaeus,;mhm im unterschied zu ptolemaeus;3
annettevogt-20180320-rec_segment_0579;annettevogt-20180320-rec;segment_0579;der die Erde ins Zentrum gesetzt hat. *mhm*;der die erde ins zentrum gesetzt hat mhm;3
annettevogt-20180320-rec_segment_0588;annettevogt-20180320-rec;segment_0588;definieren. Na es gibt eine schöne Szene in Berthold Brechts "Leben des Galilei, wo Brecht den;definieren na es gibt eine schöne szene in berthold brechts leben des galilei wo brecht den;3
annettevogt-20180320-rec_segment_0589;annettevogt-20180320-rec;segment_0589;Anhängern Galileis sagt,;anhängern galileis sagt;3
annettevogt-20180320-rec_segment_0590;annettevogt-20180320-rec;segment_0590;dass die Kirche jetzt so streng einschreitet liegt daran, die Wissenschaft ist *eh* unters Volk gekommen.;dass die kirche jetzt so streng einschreitet liegt daran die wissenschaft ist eh unters volk gekommen;3
annettevogt-20180320-rec_segment_0591;annettevogt-20180320-rec;segment_0591;Da ist was wahres dran, in dem Moment, wo es nicht nur eine kleine elitäre Gruppe ist, die sich mit solchen;da ist was wahres dran in dem moment wo es nicht nur eine kleine elitäre gruppe ist die sich mit solchen;3
